Legend,Quartz,Plagioclase,Orthoclase,Muscovite,Biotite,Chlorite,Apatite,Pyroxene/Amphibole,Garnet,Epidote,Tourmaline,Other Silicates,Zircon,Titanite,Rutile,Ilmenite,Chromite,Fe oxides,Other oxides,Sulfides,Sulfates,Olivene,Other REE Minerals,Carbonates,Clay Minerals,Other Minerals,[Unclassified],Biotite-Ti,Clinochlore,Ankerite+clay
CC-17-1 - Liberation analysis #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,----,19.90,23.55,12.12,18.56,20.57,20.03,24.25,3.58,13.33,0.00,12.50,4.44,0.00,17.43,11.64,0.00,11.91,6.55,0.19,0.00,10.13,8.08,3.37,5.60,25.23,8.51,11.91,0.00,100.00
Plagioclase,12.14,----,39.15,8.40,5.03,1.96,1.60,0.00,5.18,0.00,75.00,0.00,0.65,0.00,1.49,0.56,0.00,3.44,1.96,0.00,0.00,8.70,8.78,3.21,66.82,0.00,3.23,3.10,0.00,0.00
Orthoclase,13.15,22.36,----,7.62,5.08,2.85,1.85,0.88,0.45,0.00,0.00,0.00,0.89,0.00,0.29,0.00,0.00,1.78,2.06,0.00,0.00,0.00,4.48,0.00,0.78,0.00,2.04,2.85,0.00,0.00
Muscovite,0.96,17.10,3.17,----,10.63,19.61,0.00,0.66,0.00,0.00,0.00,0.00,0.46,0.00,0.91,13.46,0.00,0.11,0.07,18.93,0.00,0.81,2.66,0.00,6.79,0.00,1.11,1.85,0.00,0.00
Biotite,1.51,0.89,2.16,14.82,----,26.58,2.65,3.93,13.27,0.00,0.00,56.06,10.48,10.00,6.93,24.25,0.00,2.67,0.41,0.00,0.00,3.85,11.10,0.00,5.34,0.00,1.61,15.93,0.00,0.00
Chlorite,0.06,0.03,0.03,0.70,1.49,----,0.00,5.80,3.56,0.00,0.00,0.00,0.00,0.00,10.42,5.99,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.10,1.09,0.00,0.00
Apatite,0.32,0.24,0.67,0.00,0.28,0.00,----,0.00,0.00,0.00,0.00,12.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,3.37,0.03,0.00,0.09,0.00,0.00,0.00
Pyroxene/Amphibole,1.25,0.00,0.02,1.42,0.01,1.53,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,1.40,0.10,0.14,0.00,0.00,0.00,0.00,0.02,0.00,0.37,0.11,0.00,0.00
Garnet,0.00,0.07,0.00,0.00,0.59,2.02,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,17.75,0.00,0.00,0.54,0.00,0.03,1.17,0.00,0.00
Epidote,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tourmaline,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Silicates,0.00,0.00,0.00,0.00,0.05,0.00,0.33,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00
Zircon,0.91,0.12,0.58,1.20,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,----,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,5.54,0.00,0.19,0.00,0.19,0.06,0.00,0.00
